,STATION,NumEs,UpTime,Lines
41814,DYCKMAN ST,,,
169926,E 143/ST MARY'S,,,
170181,E 149 ST,,,
167146,E 180 ST,,,
34776,EAST 105 ST,,,
98481,EAST BROADWAY,1,98.09,F
195778,EASTCHSTER/DYRE,,,
189980,EASTN PKWY-MUSM,,,
171369,ELDER AV,,,
79890,ELMHURST AV,,,
64277,EUCLID AV,,,
112631,EXCHANGE PLACE,,,
69328,FAR ROCKAWAY,,,
194380,FLATBUSH AV-B.C,,,
37143,FLUSHING AV,,,
183389,FLUSHING-MAIN,3,83.56,7
71550,FORDHAM RD,,,
40591,FOREST AVE,,,
82451,FOREST HILLS 71,,,
61648,FRANKLIN AV,1,95.29,C/S
126020,FRANKLIN ST,,,
166258,FREEMAN ST,,,
40729,FRESH POND RD,,,
24867,FT HAMILTON PKY,,,
12140,FULTON ST,13,97.9,A/C/J/Z/2/3/4/5
37726,GATES AV,,,
31611,GRAHAM AV,,,
189808,GRAND ARMY PLAZ,,,
31866,GRAND ST,,,
80429,GRAND-NEWTOWN,,,
64653,GRANT AV,,,
150235,GRD CNTRL-42 ST,13,80.79,4/5/6/7/S
88492,GREENPOINT AV,,,
111859,GROVE STREET,,,
168151,GUN HILL RD,2,82.24,2/5
33558,HALSEY ST,,,
164181,HARLEM 148 ST,,,
110512,HARRISON,,,
36723,HEWES ST,,,
59149,HIGH ST,5,91.2,A/C
126627,HOUSTON ST,,,
35343,HOWARD BCH JFK,4,85.09,A
186957,HOYT ST,,,
60551,HOYT-SCHER,,,
175144,HUNTERS PT AV,,,
170697,HUNTS POINT AV,,,
165682,INTERVALE AV,1,95.14,2/5
41352,INWOOD-207 ST,,,
165210,JACKSON AV,,,
86606,JAMAICA 179 ST,,,
106660,JAMAICA CENTER,10,88.29,E/J
105776,JAMAICA VAN WK,5,73.85,E
19607,JAY ST-METROTEC,4,93.16,A/C/F/R
32532,JEFFERSON ST,,,
35721,JFK JAMAICA CT1,,,
78918,JKSN HT-ROOSVLT,5,84.53,E/F/M/R/7
111018,JOURNAL SQUARE,,,
180716,JUNCTION BLVD,,,
192275,JUNIUS ST,,,
83855,KEW GARDENS,,,
16907,KINGS HWY,,,
71978,KINGSBRIDGE RD,,,
190692,KINGSTON AV,,,
62319,KINGSTON-THROOP,,,
40255,KNICKERBOCKER,,,
37603,KOSCIUSZKO ST,,,
116809,LACKAWANNA,,,
60761,LAFAYETTE AV,,,
74456,LEXINGTON AV/53,7,69.77,4/5/6/N/R/W
104475,LEXINGTON AV/63,12,93.46,F/Q
63899,LIBERTY AV,,,
34440,LIVONIA AV,,,
170436,LONGWOOD AV,,,
31401,LORIMER ST,,,
141369,MARBLE HILL-225,,,
36177,MARCY AV,,,
41058,METROPOLITAN AV,,,
181841,METS-WILLETS PT,,,
